"filename", "language", "CSS", "HTML", "TypeScript", "JSON with Comments", "XML", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -14, 0, -14, -28
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\angular.json", "JSON", 0, 0, 0, 0, 0, 0, -103, 0, 0, -1, -104
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -13981, 0, 0, -1, -13982
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\package.json", "JSON", 0, 0, 0, 0, 0, 0, -49, 0, 0, -1, -50
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\Proyecto-Web2.code-workspace", "JSON with Comments", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.component.css", "CSS", -48, 0, 0, 0, 0, 0, 0, 0, 0, -11, -59
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.component.html", "HTML", 0, -11, 0, 0, 0, 0, 0, 0, 0, -6, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.component.ts", "TypeScript", 0, 0, -51, 0, 0, 0, 0, 0, -4, -15, -70
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acceso-puerta\acceso-puerta.service.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, 0, -3, -6, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.css", "CSS", -40, 0, 0, 0, 0, 0, 0, 0, 0, -8, -48
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.html", "HTML", 0, -23, 0, 0, 0, 0, 0, 0, 0, -2, -25
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos-usuarios\acuerdos-usuarios.component.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, -1, -5, -32
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.component.css", "CSS", -89, 0, 0, 0, 0, 0, 0, 0, -44, -32, -165
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.component.html", "HTML", 0, -14, 0, 0, 0, 0, 0, 0, 0, -7, -21
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.component.ts", "TypeScript", 0, 0, -86, 0, 0, 0, 0, 0, -12, -28, -126
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.model.ts", "TypeScript", 0, 0, -20, 0, 0, 0, 0, 0, 0, -3, -23
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\acuerdos\acuerdos.service.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 0, 0, -8, -35
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\administracion\administracion.component.css", "CSS", -23, 0, 0, 0, 0, 0, 0, 0, 0, -6, -29
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\administracion\administracion.component.html", "HTML", 0, -17, 0, 0, 0, 0, 0, 0, -3, -3, -23
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\administracion\administracion.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\administracion\administracion.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\agregar-usuario\agregar-usuario.component.css", "CSS", -95, 0, 0, 0, 0, 0, 0, 0, -27, -28, -150
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\agregar-usuario\agregar-usuario.component.html", "HTML", 0, -32, 0, 0, 0, 0, 0, 0, 0, -3, -35
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\agregar-usuario\agregar-usuario.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\agregar-usuario\agregar-usuario.component.ts", "TypeScript", 0, 0, -45, 0, 0, 0, 0, 0, 0, -11, -56
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app-routing.module.ts", "TypeScript", 0, 0, -102, 0, 0, 0, 0, 0, -4, -13, -119
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app.component.css", "CSS", -257, 0, 0, 0, 0, 0, 0, 0, -11, -45, -313
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app.component.html", "HTML", 0, -27, 0, 0, 0, 0, 0, 0, 0, -10, -37
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app.component.spec.ts", "TypeScript", 0, 0, -26, 0, 0, 0, 0, 0, 0, -6, -32
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app.component.ts", "TypeScript", 0, 0, -101, 0, 0, 0, 0, 0, -16, -44, -161
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\app.module.ts", "TypeScript", 0, 0, -120, 0, 0, 0, 0, 0, 0, -10, -130
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.css", "CSS", -94, 0, 0, 0, 0, 0, 0, 0, -27, -28, -149
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.html", "HTML", 0, -33, 0, 0, 0, 0, 0, 0, 0, -3, -36
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-acuerdos\consultar-acuerdos.component.ts", "TypeScript", 0, 0, -65, 0, 0, 0, 0, 0, -12, -21, -98
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.css", "CSS", -94, 0, 0, 0, 0, 0, 0, 0, -27, -28, -149
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.html", "HTML", 0, -41, 0, 0, 0, 0, 0, 0, 0, -9, -50
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\consultar-notificaciones.component.ts", "TypeScript", 0, 0, -50, 0, 0, 0, 0, 0, -5, -11, -66
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\notificaciones.model.ts", "TypeScript", 0, 0, -23, 0, 0, 0, 0, 0, 0, -2, -25
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\notificaciones.service.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, 0, -12, -36
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-notificaciones\personas.model.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, 0, 0, -2, -40
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.css", "CSS", -66, 0, 0, 0, 0, 0, 0, 0, 0, -26, -92
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.html", "HTML", 0, -56, 0, 0, 0, 0, 0, 0, 0, -4, -60
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\consultar-propiedades\consultar-propiedades.component.ts", "TypeScript", 0, 0, -76, 0, 0, 0, 0, 0, -3, -16, -95
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.css", "CSS", -118, 0, 0, 0, 0, 0, 0, 0, -1, -49, -168
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.html", "HTML", 0, -40, 0, 0, 0, 0, 0, 0, 0, -7, -47
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\cuenta.component.ts", "TypeScript", 0, 0, -132, 0, 0, 0, 0, 0, -7, -39, -178
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\image.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\image.service.ts", "TypeScript", 0, 0, -21, 0, 0, 0, 0, 0, -4, -7, -32
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\cuenta\usuario.model.ts", "TypeScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, -3, -35
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\data.service.ts", "TypeScript", 0, 0, -74, 0, 0, 0, 0, 0, 0, -26, -100
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.css", "CSS", -54, 0, 0, 0, 0, 0, 0, 0, 0, -23, -77
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.html", "HTML", 0, -68, 0, 0, 0, 0, 0, 0, -1, -17, -86
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.ts", "TypeScript", 0, 0, -97, 0, 0, 0, 0, 0, -1, -37, -135
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.css", "CSS", -54, 0, 0, 0, 0, 0, 0, 0, 0, -23, -77
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.html", "HTML", 0, -86, 0, 0, 0, 0, 0, 0, -1, -15, -102
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudas-ordinarias\deudas-ordinarias.component.ts", "TypeScript", 0, 0, -108, 0, 0, 0, 0, 0, -1, -33, -142
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudores\deudores.component.css", "CSS", -66, 0, 0, 0, 0, 0, 0, 0, 0, -26, -92
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudores\deudores.component.html", "HTML", 0, -50, 0, 0, 0, 0, 0, 0, 0, -2, -52
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudores\deudores.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\deudores\deudores.component.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, -11, -46
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\egresos\egresos.component.css", "CSS", -50, 0, 0, 0, 0, 0, 0, 0, -18, -23, -91
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\egresos\egresos.component.html", "HTML", 0, -26, 0, 0, 0, 0, 0, 0, -1, -17, -44
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\egresos\egresos.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\egresos\egresos.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\email\email.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\email\email.component.html", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\email\email.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\email\email.component.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, 0, -8, -32
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\footer\footer.css", "CSS", -86, 0, 0, 0, 0, 0, 0, 0, -3, -18, -107
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\footer\footer.html", "HTML", 0, -14, 0, 0, 0, 0, 0, 0, 0, -2, -16
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\fraccionamientos\fraccionamientos.component.css", "CSS", -78, 0, 0, 0, 0, 0, 0, 0, -23, -27, -128
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\fraccionamientos\fraccionamientos.component.html", "HTML", 0, -48, 0, 0, 0, 0, 0, 0, -36, -24, -108
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\fraccionamientos\fraccionamientos.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -7, -24
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\fraccionamientos\fraccionamientos.component.ts", "TypeScript", 0, 0, -91, 0, 0, 0, 0, 0, -62, -34, -187
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\home\home.component.css", "CSS", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\home\home.component.html", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\home\home.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.css", "CSS", -50, 0, 0, 0, 0, 0, 0, 0, -18, -22, -90
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.html", "HTML", 0, -34, 0, 0, 0, 0, 0, 0, -2, -23, -59
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.css", "CSS", -59, 0, 0, 0, 0, 0, 0, 0, 0, -11, -70
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.html", "HTML", 0, -50, 0, 0, 0, 0, 0, 0, -3, -15, -68
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.ts", "TypeScript", 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.css", "CSS", -257, 0, 0, 0, 0, 0, 0, 0, -11, -45, -313
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.html", "HTML", 0, -117, 0, 0, 0, 0, 0, 0, -5, -23, -145
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.spec.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -5, -22
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inicio-sesion\inicio-sesion.component.ts", "TypeScript", 0, 0, -150, 0, 0, 0, 0, 0, -16, -35, -201
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\inquilinos\inquilinos.component.ts", "TypeScript", 0, 0, -39, 0, 0, 0, 0, 0, -2, -16, -57
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\correo.service.spec.ts", "TypeScript", 0, 0, -12, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\correo.service.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.css", "CSS", -192, 0, 0, 0, 0, 0, 0, 0, -5, -64, -261
